domain,dataset,problem_id,problem_key,run_index,is_correct,parse_ok,think_chars,think_total_chars,knot_present,knot_present_bin,knot_severity,primary_trigger,trace_strategy,reversal_count,state_consistency,recovers_later,annotator_confidence,knot_quote,open_diagnosis,knot_symptoms,knot_count,sym_case_split_instability,sym_assumption_drift,sym_subgoal_frame_loss,sym_variable_binding_drift,sym_invariant_drift,sym_repair_without_recovery
math,aime25,19,aime25:19,55,1,1,15618,57030,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Now, the arc is from 180° to 252°, so central angle 252° - 180° = 72°. But is this the minor arc? From 180 to 252 is 72°, and the other way is 360 - 72 = 288°, so yes minor arc is","The model incorrectly assumes that the central angle between two points on a circle is the difference between their angles from the center, without considering the direction of the arc. This leads to a confusion about whether the arc is minor or major, but the error is corrected later.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,19,aime25:19,56,0,1,15617,92803,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Now, the arcs between D,E,F: arc DE = 72°, arc EF = 120°, arc FD = 120°? FD is arc FD, but in order.","The model incorrectly identifies arc FD as the same as arc DF, leading to confusion in the subsequent reasoning about the arcs. This was a variable binding drift that was later corrected.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,8,aime25:8,8,1,1,15618,48459,no,0,0,none,symbolic_manipulation,0,stable,no,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,50,0,1,15619,61499,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,"Let (x,y) be a point in the plane. After inverse rotation, it becomes: Let me denote the inverse rotation as: [Matrix transformation equation here] So, x'' = [Equation here] This point (x'', y'' ...","The model drifts in its variable binding, using 'x''' and 'y''' without defining them properly, and later attempts to correct this by redefining them, but the correction is incomplete.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,aime25,8,aime25:8,58,1,1,15618,41841,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and follows a logical path without any breaks in the active state.,none,0,0,0,0,0,0,0
math,aime25,8,aime25:8,60,0,1,15618,59210,yes,1,2,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"The rotated parabola consists of all points (x,y) such that when we apply the inverse rotation to (x,y), we get a point that satisfies the original parabola.","The model drifts from the assumption that the inverse rotation of the rotated parabola should satisfy the original parabola, leading to a repair without recovery. This assumption is later corrected.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,brumo25,brumo25-28,brumo25:brumo25-28,20,1,1,15619,33935,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout the trace.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,29,0,1,15619,51439,no,0,0,none,symbolic_manipulation,0,stable,no,high,,The reasoning is consistent and maintains a stable control of the active assumptions and symbols throughout the trace.,none,0,0,0,0,0,0,0
math,brumo25,brumo25-28,brumo25:brumo25-28,39,1,1,15619,51864,yes,1,1,assumption_tracking,symbolic_manipulation,1,recovered_break,yes,medium,"But the question is to find f(90) - 1/90². Now, f is defined to interpolate 1/k² at those 8 points, but 1/k² is a rational function, not a polynomial, so f is an interpolating polynomial of degree at most 7 for the function g(x) = 1/x² at the points x=2,6,12,20,30,42,56,72.","The model initially drifts from the assumption that f is a polynomial to considering it as an interpolating polynomial for a rational function, which is a correction but not immediately followed by a clear explanation of how this affects the calculation of f(90).",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,brumo25,brumo25-28,brumo25:brumo25-28,58,0,1,15618,64795,yes,1,2,symbol_binding,symbolic_manipulation,1,recovered_break,yes,medium,1/[n(n+1)]² = A/n + B/n² + C/(n+1) + D/(n+1)²,"The model incorrectly sets n=-1 in the partial fraction decomposition, leading to an undefined expression. This was a variable binding drift, and the model corrected it by noting that n cannot be -1.",variable_binding_drift|repair_without_recovery,2,0,0,0,1,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,2,1,1,15618,68921,no,0,0,none,case_analysis,0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,28,0,1,15616,85579,no,0,0,none,case_analysis,0,stable,yes,high,,"The reasoning provided is consistent and maintains a stable control of the active assumptions, cases, symbols, subgoals, and invariants throughout the trace.",none,0,0,0,0,0,0,0
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,48,0,1,15618,94249,yes,1,2,assumption_tracking,case_analysis,1,recovered_break,yes,medium,"But in this case, since it's a grid, and we're removing vertices, we need to make sure that (1,1) and (3,3) are in different components or no path exists.","The model drifts from the assumption that removing vertices will ensure different components or no path, then later revisits the assumption without correcting the earlier drift.",assumption_drift|repair_without_recovery,2,0,1,0,0,0,1
math,hmmt25,hmmt25-11,hmmt25:hmmt25-11,64,1,1,15619,86368,no,0,0,none,case_analysis,0,stable,yes,high,,The reasoning is consistent and follows a clear case analysis strategy without any breaks in the active state.,none,0,0,0,0,0,0,0
